Record_ID,Location_ID,State_Code,State,District,Taluk,Agro_Climatic_Zone,Year,Month_No,Month,Season,Crop,Crop_Category,Pest,Crop_Stage,Temperature_C,Humidity_Pct,Rainfall_7d_mm,Rainfall_30d_mm,Wind_kmh,Soil_Moisture_Pct,Days_Since_Rain,NDVI,Previous_Pest_Incidence_Pct,Nearby_Outbreak_Flag,Recent_Pesticide_Flag,Irrigation_Type,Risk_Score,Risk_Level,Confidence_Pct,Recommended_Action,Dataset_Split,Synthetic_Record,Source_Basis
AGR-000001,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,1,Jan,Rabi/Winter,Sugarcane,Sugar crop,Woolly Aphid,Seedling,27.3,60.1,5.6,16.0,9.5,30.4,7,0.532,53.3,0,0,Drip,70.0,Medium,82.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000002,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,5,May,Pre-Monsoon,Sugarcane,Sugar crop,Woolly Aphid,Vegetative,28.9,75.9,33.2,136.1,6.7,51.6,1,0.642,70.7,1,1,Canal,74.3,Medium,84.5,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000003,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,7,Jul,Kharif/Monsoon,Sugarcane,Sugar crop,Woolly Aphid,Flowering,25.2,80.4,27.8,189.1,10.8,62.1,2,0.695,60.8,1,0,Mixed,56.6,Medium,75.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000004,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,11,Nov,Rabi/Winter,Sugarcane,Sugar crop,Woolly Aphid,Fruiting/Grain Filling,26.5,65.6,20.4,59.6,9.1,32.9,1,0.513,72.4,0,1,Rainfed,62.6,Medium,77.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000005,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,2,Feb,Rabi/Winter,Sugarcane,Sugar crop,Woolly Aphid,Maturity,25.3,63.7,5.2,14.8,3.3,28.2,4,0.473,55.2,0,1,Rainfed,58.9,Medium,74.0,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000006,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,4,Apr,Summer/Zaid,Sugarcane,Sugar crop,Woolly Aphid,Seedling,29.3,67.9,13.7,47.4,4.9,42.4,2,0.578,73.2,1,0,Canal,85.1,High,74.3,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000007,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,4,Apr,Summer/Zaid,Okra,Vegetable,Jassid,Vegetative,28.9,71.0,30.3,86.2,7.9,44.8,3,0.642,59.0,1,1,Mixed,69.8,Medium,75.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000008,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,6,Jun,Kharif/Monsoon,Okra,Vegetable,Jassid,Flowering,25.6,77.4,40.8,170.7,12.6,48.3,0,0.617,59.2,0,1,Canal,50.4,Medium,74.6,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000009,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,11,Nov,Rabi/Winter,Okra,Vegetable,Jassid,Fruiting/Grain Filling,26.1,66.6,9.5,47.7,3.6,35.6,10,0.615,52.1,1,1,Borewell,64.3,Medium,75.1,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000010,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,1,Jan,Rabi/Winter,Okra,Vegetable,Jassid,Maturity,27.1,68.0,3.8,17.0,9.9,37.0,9,0.552,69.0,1,1,Canal,77.2,High,76.0,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
